Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A716440,,CAT,GRAY,,Male,2016-03-06,2024-03-06,ILL MODERATETE,STRAY,FIELD,,2024-03-06,300 BLK E SOUTH ST,LONG BEACH,DIED,ENROUTE,33.8600568,-118.1898684,Alive on Intake,TRUE,0,"33.8600568, -118.1898684"
A612463,TROY,DOG,GRAY,TAN,Neutered,2012-08-06,2018-08-06,NORMAL,STRAY,FIELD,,2018-08-06,"300 BLK E SUNSET ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,MICROCHIP,33.8492234,-118.1897853,Alive on Intake,FALSE,1,"33.8492234, -118.1897853"
A700565,*TRAVIS BARKER,DOG,TAN,,Male,2017-06-10,2023-06-10,ILL SEVERE,STRAY,OTC,,2023-11-26,300 BLK E WILLOW ST LONG BEACH 90806,LONG BEACH,HOMEFIRST,,33.8038687,-118.1886032,Alive on Intake,FALSE,1,"33.8038687, -118.1886032"
A671323,,OTHER,BROWN,,Female,2022-02-04,2022-03-04,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2022-03-04,"300 BLK E WILLOW ST, LONG BEACH, CA 90806",LONG BEACH,RESCUE,OTHER RESC,33.8038687,-118.1886032,Alive on Intake,FALSE,1,"33.8038687, -118.1886032"
A692074,*EMMIE,DOG,BLACK,CREAM,Spayed,,2023-01-19,NORMAL,STRAY,OTC,,2023-01-25,"300 BLK E. SOUTH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,33.8600568,-118.1898684,Alive on Intake,FALSE,1,"33.8600568, -118.1898684"
A586810,,DOG,BLACK,WHITE,Male,2016-09-09,2017-03-09,NORMAL,STRAY,FIELD,,2017-03-15,"300 BLK ELEANOR LN, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8779472,-118.1967604,Alive on Intake,FALSE,1,"33.8779472, -118.1967604"
A651610,,WILD,GRAY,WHITE,Unknown,,2020-11-16,INJURED  MODERATE,WILDLIFE,FIELD,,2020-11-16,"300 BLK FLINT AVE, LONG BEACH, CA 90814",LONG BEACH,TRANSFER,LBAH,33.7682391,-118.1228614,Alive on Intake,FALSE,1,"33.7682391, -118.1228614"
A640865,CHIEF,DOG,BLACK,BROWN,Male,2015-03-08,2020-03-08,NORMAL,STRAY,OTC,,2020-03-11,"300 BLK GAVIOTA AVE, LONG BEACH, CA 90802",LONG BEACH,RETURN TO OWNER,WALKIN,33.7692382,-118.1710018,Alive on Intake,FALSE,1,"33.7692382, -118.1710018"
A604076,,WILD,GRAY,,Unknown,,2018-02-24,INJURED  SEVERE,WILDLIFE,FIELD,,2018-02-24,"300 BLK GLADYS AVE, LONG BEACH, CA 90814",LONG BEACH,EUTHANASIA,INJ SEVERE,33.7683335,-118.1576793,Alive on Intake,TRUE,0,"33.7683335, -118.1576793"
A596684,XYLA,CAT,BLACK,WHITE,Spayed,2016-06-03,2017-09-07,NORMAL,OWNER SURRENDER,OTC,LANDLORD,2017-09-17,"300 BLK GLADYS AVE, LONG BEACH, CA 90814",LONG BEACH,ADOPTION,SPCALA,33.7683335,-118.1576793,Alive on Intake,FALSE,1,"33.7683335, -118.1576793"
A685042,,WILD,BROWN,,Unknown,2022-07-23,2022-09-23,INJURED  SEVERE,WILDLIFE,FIELD,,2022-09-23,"300 BLK GLENDORA AVE, LONG BEACH, CA 90803",LONG BEACH,RETURN TO WILD HABITAT,,33.7632055,-118.1280541,Alive on Intake,FALSE,1,"33.7632055, -118.1280541"
A655066,KONA,DOG,RED MERLE,WHITE,Male,2020-09-16,2021-03-16,NORMAL,WELFARE SEIZED,HOSPITAL,,2021-03-17,"300 BLK GOLDEN SHORE, LONG BEACH, CA 90802",LONG BEACH,RETURN TO OWNER,WALKIN,33.7618488,-118.1987704,Alive on Intake,FALSE,1,"33.7618488, -118.1987704"
A709550,*PECORINO,CAT,BLACK,,Neutered,2023-09-06,2023-10-29,UNDER AGE/WEIGHT,STRAY,OTC,,2023-12-27,300 BLK HERMOSA AVE LONG BEACH CA 90802,LONG BEACH,ADOPTION,WEB,33.7691954,-118.1693268,Alive on Intake,FALSE,1,"33.7691954, -118.1693268"
A686577,*PACH JR,CAT,ORANGE,,Male,2022-08-12,2022-10-12,NORMAL,STRAY,OTC,,2022-11-09,"300 BLK HULA LN, LONG BEACH, CA 90805",LONG BEACH,DIED,IN CARE,33.8724304,-118.1882392,Alive on Intake,TRUE,0,"33.8724304, -118.1882392"
A686576,*DOUG JR,CAT,ORG TABBY,WHITE,Neutered,2022-08-12,2022-10-12,NORMAL,STRAY,OTC,,2023-01-28,"300 BLK HULA LN, LONG BEACH, CA 90805",LONG BEACH,HOMEFIRST,,33.8724304,-118.1882392,Alive on Intake,FALSE,1,"33.8724304, -118.1882392"
A689819,*RUPERT,CAT,BLACK,,Male,2022-10-02,2022-12-02,NORMAL,STRAY,OTC,,2022-12-17,"300 BLK JUNIPERO AVE, LONG BEACH, CA 90814",LONG BEACH,RESCUE,LITTLEPAWS,33.7686022,-118.1649357,Alive on Intake,FALSE,1,"33.7686022, -118.1649357"
A662938,,CAT,ORG TABBY,WHITE,Male,2021-08-17,2021-08-31,UNDER AGE/WEIGHT,STRAY,FIELD,,2021-09-14,"300 BLK LIME AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,CATPAWS,33.770513,-118.1836978,Alive on Intake,FALSE,1,"33.770513, -118.1836978"
A662940,,CAT,ORG TABBY,WHITE,Male,2021-08-17,2021-08-31,UNDER AGE/WEIGHT,STRAY,FIELD,,2021-09-14,"300 BLK LIME AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,CATPAWS,33.770513,-118.1836978,Alive on Intake,FALSE,1,"33.770513, -118.1836978"
A605373,BOO,DOG,BLUE,WHITE,Female,2016-03-26,2018-03-26,NORMAL,OWNER SURRENDER,FIELD,,2018-03-29,"300 BLK LIME AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.770513,-118.1836978,Alive on Intake,FALSE,1,"33.770513, -118.1836978"
A708100,,WILD,BROWN,,Unknown,,2023-10-01,INJURED  SEVERE,WILDLIFE,FIELD,,2023-10-02,"300 BLK LINDERO AVE, LONG BEACH, CA",LONG BEACH,EUTHANASIA,INJ SEVERE,33.7680786,-118.1627949,Alive on Intake,TRUE,0,"33.7680786, -118.1627949"
A701656,*SOREL,CAT,BLACK,,Spayed,2022-06-25,2023-06-25,NORMAL,STRAY,OTC,,2023-10-05,"300 BLK LOMA AVE, LONG BEACH, CA 90814",LONG BEACH,RESCUE,CATHSEKING,33.768099,-118.1502585,Alive on Intake,FALSE,1,"33.768099, -118.1502585"
A662428,*MISS MEOW,CAT,BLACK,WHITE,Female,2021-07-23,2021-08-25,UNDER AGE/WEIGHT,STRAY,OTC,,2021-09-17,"300 BLK LOS CERRITOS CENTER, CERRITOS CA 90703",CERRITOS,RESCUE,CATPAWS,33.8632856,-118.0937026,Alive on Intake,FALSE,1,"33.8632856, -118.0937026"
A603562,,CAT,GRAY,,Male,2016-02-08,2018-02-08,NORMAL,STRAY,FIELD,,2018-02-14,"300 BLK MAGNOLIA AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7705019,-118.1980721,Alive on Intake,FALSE,1,"33.7705019, -118.1980721"
A629088,BABYCAT,CAT,SL LYNX PT,,Male,2016-06-29,2019-06-29,NORMAL,OWNER SURRENDER,OTC,,2019-06-30,"300 BLK MAGNOLIA AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7705019,-118.1980721,Alive on Intake,FALSE,1,"33.7705019, -118.1980721"
A643145,*PANCAKES,CAT,BLACK,WHITE,Spayed,2020-03-27,2020-05-27,NORMAL,STRAY,OTC,,2020-08-08,"300 BLK MARKER LN, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WEB,33.8753801,-118.1967604,Alive on Intake,FALSE,1,"33.8753801, -118.1967604"
A590372,,CAT,BLACK,WHITE,Male,2017-04-17,2017-05-17,UNDER AGE/WEIGHT,STRAY,OTC,,2017-05-28,"300 BLK MARKER LN, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8753801,-118.1967604,Alive on Intake,FALSE,1,"33.8753801, -118.1967604"
A632651,MISS DAISY,CAT,BLACK,WHITE,Spayed,2007-08-28,2020-02-20,NORMAL,RETURN,ADOPTION,OWNER PROB,2020-02-21,"300 BLK MAVIS DR, LOS ANGELES, CA 90065",OUT OF AREA,TRANSFER,SPCALA,34.100031,-118.209706,Alive on Intake,FALSE,1,"34.100031, -118.209706"
A714278,,CAT,GRAY TABBY,WHITE,Female,,2024-01-31,ILL MODERATETE,STRAY,OTC,,2024-01-31,300 BLK MIRA MAR AVE LONG BEACH CA 90814,LONG BEACH,EUTHANASIA,ILL SEVERE,33.7680789,-118.1472255,Alive on Intake,TRUE,0,"33.7680789, -118.1472255"
A628713,,CAT,SEAL PT,,Female,2019-05-18,2019-06-22,UNDER AGE/WEIGHT,STRAY,OTC,,2019-07-12,"300 BLK MOLINO AVE, LONG BEACH, CA 90814",LONG BEACH,RESCUE,LITTLEPAWS,33.7681145,-118.1606091,Alive on Intake,FALSE,1,"33.7681145, -118.1606091"
A616546,,WILD,BROWN,,Unknown,,2018-10-21,INJURED  SEVERE,WILDLIFE,FIELD,,2018-10-21,"300 BLK MOLINO AVE, LONG BEACH, CA 90814",LONG BEACH,TRANSFER,LBAH,33.7681145,-118.1606091,Alive on Intake,FALSE,1,"33.7681145, -118.1606091"
A618117,,BIRD,GRAY,WHITE,Unknown,,2018-11-27,INJURED  MODERATE,WILDLIFE,FIELD,,2018-11-27,"300 BLK MONROVIA AVE, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,INJ SEVERE,33.7656384,-118.1310867,Alive on Intake,TRUE,0,"33.7656384, -118.1310867"
A645262,BLUE,CAT,BLACK,,Spayed,2013-07-09,2020-07-10,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,2020-09-20,"300 BLK NEWPORT AVE, LONG BEACH, CA 90814",LONG BEACH,ADOPTION,WEB,33.7680926,-118.1513633,Alive on Intake,FALSE,1,"33.7680926, -118.1513633"
A687425,,CAT,TAN,,Neutered,2012-10-25,2022-10-25,ILL SEVERE,STRAY,FIELD,,2022-10-25,"300 BLK NEWPORT AVE, LONG BEACH, CA 90814",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7680926,-118.1513633,Alive on Intake,TRUE,0,"33.7680926, -118.1513633"
A609192,,BIRD,BLACK,WHITE,Unknown,2018-05-06,2018-06-06,ILL SEVERE,WILDLIFE,FIELD,,2018-06-06,"300 BLK NEWPORT AVE, LONG BEACH, CA 90814",LONG BEACH,RESCUE,OTHER RESC,33.7680926,-118.1513633,Alive on Intake,FALSE,1,"33.7680926, -118.1513633"
A678092,CHILLI,DOG,BROWN,WHITE,Spayed,2022-10-10,2022-07-17,NORMAL,RETURN,ADOPTION,,2022-08-10,"300 BLK OBISPO AVE, LONG BEACH, CA 90814",LONG BEACH,ADOPTION,,33.7680855,-118.1546128,Alive on Intake,FALSE,1,"33.7680855, -118.1546128"
A671792,SCOOBY,DOG,BLACK,WHITE,Male,2020-09-18,2022-03-17,NORMAL,STRAY,FIELD,,2022-03-18,"300 BLK OBISPO AVE, LONG BEACH, CA 90814",LONG BEACH,RETURN TO OWNER,WALKIN,33.7680855,-118.1546128,Alive on Intake,FALSE,1,"33.7680855, -118.1546128"
A593724,,BIRD,BROWN,,Unknown,2016-07-17,2017-07-17,NORMAL,WILDLIFE,OTC,,2017-07-17,"300 BLK OBISPO AVE, LONG BEACH, CA 90814",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.7680855,-118.1546128,Alive on Intake,TRUE,0,"33.7680855, -118.1546128"
A593991,,CAT,BLACK,,Unknown,2017-07-20,2017-07-21,UNDER AGE/WEIGHT,STRAY,FIELD,,2017-07-21,"300 BLK ORANGE AVE, LONG BEACH, CA 90802",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.7744848,-118.1769037,Alive on Intake,TRUE,0,"33.7744848, -118.1769037"
A605358,,CAT,BRN TABBY,,Unknown,2018-03-19,2018-03-25,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-03-25,"300 BLK ORANGE AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LITTLELION,33.7744848,-118.1769037,Alive on Intake,FALSE,1,"33.7744848, -118.1769037"
A637780,SHIRRO,CAT,WHITE,,Neutered,2016-12-20,2019-12-20,FRACTIOUS,STRAY,OTC,,2020-01-08,"300 BLK ORANGE AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WALKIN,33.7744848,-118.1769037,Alive on Intake,FALSE,1,"33.7744848, -118.1769037"
A605359,,CAT,BRN TABBY,,Unknown,2018-03-19,2018-03-25,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-03-25,"300 BLK ORANGE AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LITTLELION,33.7744848,-118.1769037,Alive on Intake,FALSE,1,"33.7744848, -118.1769037"
A605360,,CAT,BRN TABBY,,Unknown,2018-03-19,2018-03-25,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-03-25,"300 BLK ORANGE AVE, LONG BEACH, CA 90802",LONG BEACH,RESCUE,LITTLELION,33.7744848,-118.1769037,Alive on Intake,FALSE,1,"33.7744848, -118.1769037"
A597028,,BIRD,GRAY,BLACK,Unknown,2016-09-13,2017-09-13,INJURED  SEVERE,WILDLIFE,FIELD,,2017-09-14,"300 BLK ORIZABA AVE, LONG BEACH, CA 90814",LONG BEACH,EUTHANASIA,INJ MODERA,33.7680881,-118.1567774,Alive on Intake,TRUE,0,"33.7680881, -118.1567774"
A642819,COCO,DOG,WHITE,,Male,2020-01-16,2020-05-16,NORMAL,CONFISCATE,POLICE,,2020-05-17,"300 BLK PACIFIC AVE, LONG BEACH, CA 90802",LONG BEACH,RETURN TO OWNER,WALKIN,33.7706727,-118.1935955,Alive on Intake,FALSE,1,"33.7706727, -118.1935955"
A698833,,BIRD,BROWN,,Unknown,2023-04-14,2023-05-14,ILL MILD,WILDLIFE,OTC,,2023-05-15,300 BLK PANAMA AVE LB CA 90814,LONG BEACH,TRANSFER,OTHER RESC,33.7698934,-118.129599,Alive on Intake,FALSE,1,"33.7698934, -118.129599"
A711851,*MOOKIE,CAT,BLACK,,Neutered,2018-12-13,2023-12-13,ILL MODERATETE,STRAY,OTC,,2024-01-28,300 BLK PARK AVE LONG BEACH CA 90814,LONG BEACH,ADOPTION,WEB,33.7680942,-118.1372048,Alive on Intake,FALSE,1,"33.7680942, -118.1372048"
A618375,,BIRD,GRAY,BLACK,Unknown,2018-06-04,2018-12-04,ILL SEVERE,WILDLIFE,FIELD,,2018-12-05,"300 BLK ROSWELL AVE, LONG BEACH, CA 90814",LONG BEACH,RESCUE,OTHER RESC,33.768072,-118.1437369,Alive on Intake,FALSE,1,"33.768072, -118.1437369"
A637942,,RABBIT,BLACK,,Unknown,2019-12-27,2019-08-07,NORMAL,OWNER SURRENDER,OTC,OTHER PET,2019-12-27,"300 BLK ROYCROFT AVE, LONG BEACH, CA 90803",LONG BEACH,DIED,IN KENNEL,33.7682433,-118.1380748,Alive on Intake,TRUE,0,"33.7682433, -118.1380748"
A637940,,RABBIT,BLACK,,Unknown,2019-12-27,2019-08-07,NORMAL,OWNER SURRENDER,OTC,OTHER PET,2019-12-27,"300 BLK ROYCROFT AVE, LONG BEACH, CA 90803",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7682433,-118.1380748,Alive on Intake,TRUE,0,"33.7682433, -118.1380748"
A592817,LUNA,DOG,RED,,Spayed,2010-07-02,2019-11-30,NORMAL,STRAY,OTC,,2019-11-30,"300 BLK SAINT JOSEPH AVE, LONG BEACH, CA 90814",LONG BEACH,RETURN TO OWNER,WALKIN,33.7682118,-118.1359262,Alive on Intake,FALSE,1,"33.7682118, -118.1359262"
A656272,,WILD,BLACK,,Male,,2021-04-14,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2021-04-14,"300 BLK SANTIAGO AVE, LONG BEACH, CA 90814",LONG BEACH,RESCUE,OTHER RESC,33.7698916,-118.1285173,Alive on Intake,FALSE,1,"33.7698916, -118.1285173"
A613422,BABE,CAT,ORG TABBY,,Spayed,2008-08-22,2018-08-22,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2018-08-26,"300 BLK SEVILLE WAY, LONG BEACH, CA 90814",LONG BEACH,ADOPTION,WALKIN,33.7690965,-118.1181948,Alive on Intake,FALSE,1,"33.7690965, -118.1181948"
A699578,,CAT,UNKNOWN,,Unknown,2023-04-11,2023-05-26,NORMAL,STRAY,OTC,,2023-05-26,300 BLK SHORELINE DR LB 90802,LONG BEACH,DUPLICATE,,33.7639555,-118.1849016,Alive on Intake,FALSE,1,"33.7639555, -118.1849016"
A595391,,CAT,BLACK,WHITE,Unknown,2015-08-16,2017-08-16,ILL SEVERE,STRAY,FIELD,,2017-08-16,"300 BLK SOUTH ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8600568,-118.1898684,Alive on Intake,TRUE,0,"33.8600568, -118.1898684"
A632812,,BIRD,GRAY,WHITE,Unknown,2018-08-30,2019-08-30,INJURED  SEVERE,WILDLIFE,FIELD,,2019-08-30,"300 BLK TERRAINE AVE, LONG BEACH, CA 90814",LONG BEACH,TRANSFER,LBAH,33.769898,-118.1274345,Alive on Intake,FALSE,1,"33.769898, -118.1274345"
A694380,FAST,DOG,BROWN,WHITE,Neutered,2020-03-08,2023-03-19,NORMAL,WELFARE SEIZED,POLICE,,2023-10-17,300 BLK W 10TH ST,LONG BEACH,ADOPTION,WEB,33.7789659,-118.1950758,Alive on Intake,FALSE,1,"33.7789659, -118.1950758"
A700631,,CAT,BRN TABBY,,Unknown,2023-05-10,2023-06-10,UNDER AGE/WEIGHT,STRAY,FIELD,,2023-06-10,"300 BLK W 10TH ST, LONG BEACH CA, 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7789659,-118.1950758,Alive on Intake,TRUE,0,"33.7789659, -118.1950758"
A615040,CERIO,DOG,BROWN,TAN,Male,2013-09-21,2018-09-21,NORMAL,STRAY,OTC,,2018-09-22,"300 BLK W 10TH ST, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,WALKIN,33.7789659,-118.1950758,Alive on Intake,FALSE,1,"33.7789659, -118.1950758"
A660885,,WILD,BLACK,GRAY,Unknown,,2021-07-27,ILL MODERATETE,WILDLIFE,FIELD,,2021-07-27,"300 BLK W 17TH ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,ILL SEVERE,33.7880509,-118.1950967,Alive on Intake,TRUE,0,"33.7880509, -118.1950967"
A655171,CHARLIE,DOG,WHITE,,Neutered,2015-03-19,2021-08-18,NORMAL,WELFARE SEIZED,EVICTION,,2021-08-19,"300 BLK W 17TH ST, LONG BEACH, CA 90813",LONG BEACH,RETURN TO OWNER,WALKIN,33.7880509,-118.1950967,Alive on Intake,FALSE,1,"33.7880509, -118.1950967"
A642166,,CAT,GRAY,,Male,2020-04-25,2020-04-26,UNDER AGE/WEIGHT,STRAY,OTC,,2020-04-26,"300 BLK W 25TH ST, LONG BEACH, CA 90806",LONG BEACH,RESCUE,CATPAWS,33.8023372,-118.194757,Alive on Intake,FALSE,1,"33.8023372, -118.194757"
A638424,SHILOH,DOG,BROWN,,Male,2017-07-10,2020-01-10,NORMAL,OWNER SURRENDER,OTC,NO HOME,2020-01-11,"300 BLK W 4TH ST,  LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7717154,-118.1950828,Alive on Intake,FALSE,1,"33.7717154, -118.1950828"
A539585,HENRY,CAT,BLK SMOKE,,Neutered,2014-05-07,2021-10-25,NORMAL,CONFISCATE,OWNER DIED,,2021-10-29,"300 BLK W 6TH ST, LONG BEACH, CA 90802",LONG BEACH,RETURN TO OWNER,WALKIN,33.7741217,-118.195073,Alive on Intake,FALSE,1,"33.7741217, -118.195073"
A587089,*TWEED,CAT,BRN TABBY,,Neutered,2015-03-15,2017-03-15,INJURED  MILD,STRAY,FIELD,,2017-04-15,"300 BLK W 7TH ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WALKIN,33.7753353,-118.1950775,Alive on Intake,FALSE,1,"33.7753353, -118.1950775"
A605803,BOBO,DOG,WHITE,BROWN,Neutered,2014-04-05,2018-04-29,NORMAL,OWNER SURRENDER,OTC,BITES,2018-05-19,"300 BLK W 8TH ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,BEH SEVERE,33.776553,-118.1950741,Alive on Intake,TRUE,0,"33.776553, -118.1950741"
A585979,*TINY,DOG,BROWN,,Male,2014-08-18,2021-08-26,NORMAL,STRAY,FIELD,,2021-10-20,"300 BLK W 8TH ST, LONG BEACH, CA 90813",LONG BEACH,RESCUE,AHM4EVER,33.776553,-118.1950741,Alive on Intake,FALSE,1,"33.776553, -118.1950741"
A615167,,CAT,SEAL PT,,Female,2018-09-11,2018-09-25,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-09-28,"300 BLK W 9TH ST, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LITTLELION,33.7777543,-118.1950802,Alive on Intake,FALSE,1,"33.7777543, -118.1950802"
A605322,,WILD,PINK,,Unknown,2018-03-23,2018-03-24,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2018-03-24,"300 BLK W ANAHEIM ST, LONG BEACH, CA 90813",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.782457,-118.195211,Alive on Intake,TRUE,0,"33.782457, -118.195211"
A626170,,BIRD,BROWN,WHITE,Unknown,,2019-05-10,INJURED  SEVERE,WILDLIFE,FIELD,,2019-05-10,"300 BLK W OCEAN BLVD, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,LBAH,33.7665727,-118.1951753,Alive on Intake,FALSE,1,"33.7665727, -118.1951753"
A655100,SHADOW,CAT,BLACK,,Neutered,2013-03-18,2021-03-17,INJURED  MODERATE,STRAY,FIELD,,2021-03-26,"300 BLK W OCEAN BLVD, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,WEB,33.7665727,-118.1951753,Alive on Intake,FALSE,1,"33.7665727, -118.1951753"
A700119,,CAT,GRAY,WHITE,Unknown,2023-05-21,2023-06-03,UNDER AGE/WEIGHT,STRAY,OTC,,2023-07-28,300 BLK WALNUT AVE LONG BEACH 90802,LONG BEACH,MISSING,,33.7697544,-118.1717618,Alive on Intake,FALSE,1,"33.7697544, -118.1717618"
